"Action","Action"
"Add Child Menu Item","Add Child Menu Item"
"Add Menu Item","Add Menu Item"
"Add Menu Setting","Add Menu Setting"
"Add Root Menu Item","Add Root Menu Item"
"An error occurred while trying to delete the menu item.","An error occurred while trying to delete the menu item."
"Are you sure?","Are you sure?"
"Assign menu setting to menu item","Assign menu setting to menu item"
"Associated products","Associated products"
"CSV","CSV"
"Can't delete root menu item.","Can't delete root menu item."
"Change Disable Menu","Change Disable Menu"
"Change status","Change status"
"Collapse All","Collapse All"
"Could not find menu item to delete.","Could not find menu item to delete."
"Could not find menu setting to delete.","Could not find menu setting to delete."
"Delete File","Delete File"
"Delete Menu Item","Delete Menu Item"
"Delete Menu Setting","Delete Menu Setting"
"Delete","Delete"
"Disable Menu","Disable Menu"
"Disabled","Disabled"
"Disables Menu for Debugging","Disables Menu for Debugging"
"Display as tree","Display as tree"
"Edit Menu Item '%s'","Edit Menu Item '%s'"
"Edit Menu Setting '%s'","Edit Menu Setting '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Excel","Excel"
"Expand All","Expand All"
"Home","Home"
"ID: %s","ID: %s"
"Id","Id"
"Levels to show (0 for all)","Levels to show (0 for all)"
"Link Image","Link Image"
"Link Path","Link Path"
"Link Target","Link Target"
"Link Title","Link Title"
"Manage Menu Items","Manage Menu Items"
"Menu HTML","Menu HTML"
"Menu Item move error","Menu Item move error"
"Menu Item move operation is not possible: parent menu item is equal to child menu item.","Menu Item move operation is not possible: parent menu item is equal to child menu item."
"Menu Item move operation is not possible: the current menu item was not found.","Menu Item move operation is not possible: the current menu item was not found."
"Menu Item move operation is not possible: the new parent menu item was not found.","Menu Item move operation is not possible: the new parent menu item was not found."
"Menu Item subtree widget","Menu Item subtree widget"
"Menu Item subtree","Menu Item subtree"
"Menu Item was successfully deleted.","Menu Item was successfully deleted."
"Menu Item was successfully saved","Menu Item was successfully saved"
"Menu Item","Menu Item"
"Menu Items","Menu Items"
"Menu Setting does not exist.","Menu Setting does not exist."
"Menu Setting was successfully deleted.","Menu Setting was successfully deleted."
"Menu Setting was successfully saved","Menu Setting was successfully saved"
"Menu Setting","Menu Setting"
"Menu Settings","Menu Settings"
"Menu Title","Menu Title"
"New Menu Item","New Menu Item"
"New Root Menu Item","New Root Menu Item"
"No","No"
"None","None"
"Please select menu items to delete.","Please select menu items to delete."
"Please select menu items.","Please select menu items."
"Please select menu settings to delete.","Please select menu settings to delete."
"Please select menu settings.","Please select menu settings."
"Position","Position"
"Recursion level","Recursion level"
"Remove menu setting from menu item","Remove menu setting from menu item"
"Root","Root"
"Save And Continue Edit","Save And Continue Edit"
"Save Menu Item","Save Menu Item"
"Save Menu Setting","Save Menu Setting"
"Select Menu Item","Select Menu Item"
"Status","Status"
"Store views","Store views"
"The menu item has been saved.","The menu item has been saved."
"There was a problem saving the menu item.","There was a problem saving the menu item."
"There was a problem saving the menu setting.","There was a problem saving the menu setting."
"There was an error deleteing menu item.","There was an error deleteing menu item."
"There was an error deleteing menu items.","There was an error deleteing menu items."
"There was an error deleteing menu setting.","There was an error deleteing menu setting."
"There was an error deleteing menu settings.","There was an error deleteing menu settings."
"There was an error updating menu items.","There was an error updating menu items."
"There was an error updating menu settings.","There was an error updating menu settings."
"This menu item no longer exists.","This menu item no longer exists."
"This menu setting no longer exists.","This menu setting no longer exists."
"Title for your menu","Title for your menu"
"Total of %d menu items were successfully deleted.","Total of %d menu items were successfully deleted."
"Total of %d menu items were successfully updated.","Total of %d menu items were successfully updated."
"Total of %d menu settings were successfully deleted.","Total of %d menu settings were successfully deleted."
"Total of %d menu settings were successfully updated.","Total of %d menu settings were successfully updated."
"Unable to find menu item to save.","Unable to find menu item to save."
"Unable to find menu setting to save.","Unable to find menu setting to save."
"Upload an image to include next to your menu link","Upload an image to include next to your menu link"
"XML","XML"
"Yes","Yes"
